baseMean	log2FoldChange	lfcSE	pvalue	padj	direction	gained_ac	gene
Serpina6	5895.82500928936	2.48928902278076	0.0545379886307599	0	0	up	FALSE	Serpina6
Rhobtb1	3291.54687137	1.95276508740858	0.0611612877537507	1.08731956604379e-223	9.72389887912965e-220	up	FALSE	Rhobtb1
Saa4	21111.1219005361	2.96047167002528	0.123787400517557	2.09907006812668e-126	1.25146557461712e-122	up	FALSE	Saa4
Asl	42410.5484534983	-1.72142049473088	0.0773954122626814	1.351328300561e-109	6.04246449595849e-106	dn	FALSE	Asl
Bhlhe40	2310.29138629314	1.99643457257362	0.0910106893881505	1.17135999139523e-106	4.190188961219e-103	up	FALSE	Bhlhe40
Aacs	1422.67899510803	3.27241537853794	0.155903781676187	8.10004134319361e-98	2.41462232440602e-94	up	FALSE	Aacs
Got1	14865.1943802654	-2.53245801431311	0.122703727971087	1.23073925012224e-94	3.14471460395519e-91	dn	FALSE	Got1
Ccnd1	1305.62849727339	2.48414252966812	0.12291203459522	7.87666962994332e-91	1.76102641251458e-87	up	FALSE	Ccnd1
Dact2	579.546268731826	-2.71692983532472	0.136127448792337	1.25892024134677e-88	2.50189415963648e-85	dn	FALSE	Dact2
Usp2	1741.00763448306	2.54378273336965	0.12963955013388	1.0039612032691e-85	1.7956850081671e-82	up	FALSE	Usp2
Cth	27866.466185443	-1.78847849222056	0.0919726746900952	3.16553857256106e-84	5.14716571898428e-81	dn	FALSE	Cth
Gm15441	993.344114530308	-4.26957975747086	0.219621220395855	3.49692087800817e-84	5.21216056867118e-81	dn	FALSE	Gm15441
AW112010	1979.97593188435	1.41436098248202	0.0732684719509335	4.98871334734932e-83	6.86370207159154e-80	up	FALSE	AW112010
Saa2	1123.5272666254	3.57138837478358	0.185107628110524	6.08157361638384e-83	7.76964469304581e-80	up	FALSE	Saa2
Apol9a	906.288837023915	2.56250161280236	0.135422974073197	7.48527870361576e-80	8.92544632619143e-77	up	FALSE	Apol9a
Prg4	2150.5181284999	2.81325609021713	0.14907741573597	1.97119882743807e-79	2.20355388922233e-76	up	FALSE	Prg4
Ifit1	436.066692594882	2.25147568474437	0.124964748297086	1.43601125593849e-72	1.51085278374799e-69	up	FALSE	Ifit1
Epas1	5966.36326916968	1.15269329332081	0.06437719293292	1.07205696107767e-71	1.06526726699084e-68	up	FALSE	Epas1
Rgs16	3583.04414722722	3.17901491770151	0.179079415703522	1.66371305764905e-70	1.56616693416373e-67	up	TRUE	Rgs16
Sema5b	545.644636650017	2.76094783450309	0.157535768116209	9.09759289131925e-69	8.1359773227068e-66	up	FALSE	Sema5b
Slc16a1	2472.42796704981	-1.64058437106423	0.0936330267197829	9.83254807234681e-69	8.37452165819024e-66	dn	FALSE	Slc16a1
Serpina7	1555.11595832378	3.13914042744724	0.18245720730141	2.44403770232284e-66	1.98700265198847e-63	up	FALSE	Serpina7
Thrsp	3756.48380653932	4.73672657830464	0.276172855066068	6.14501668075679e-66	4.77868558052243e-63	up	TRUE	Thrsp
C730036E19Rik	2433.6672684562	4.368149157481	0.261016682616658	7.26933661788266e-63	5.41747311447705e-60	up	FALSE	C730036E19Rik
Atf5	16662.1681023256	-1.69326772669761	0.102680755095886	4.2863918367249e-61	3.06665617566646e-58	dn	FALSE	Atf5
Ifitm3	5852.23021500301	1.52767702918507	0.0934335379020996	4.32034490040739e-60	2.97206495725717e-57	up	FALSE	Ifitm3
Ehhadh	84742.1998610111	-2.44055875586366	0.149418838039305	5.68539270092981e-60	3.76625680921595e-57	dn	FALSE	Ehhadh
Gbp7	439.126935429429	2.07698280523335	0.127472827359969	1.09703277725471e-59	6.83974373793575e-57	up	TRUE	Gbp7
Prr16	1036.34633982007	1.17631260397751	0.0721979930461311	1.10898226769617e-59	6.83974373793575e-57	up	FALSE	Prr16
Ttr	156844.814464723	1.19611509918022	0.0737323119693174	3.50234115961145e-59	2.08809579936034e-56	up	FALSE	Ttr
Ebpl	1615.74784967	0.99723030112024	0.0626040147082767	3.97568396649258e-57	2.29384140079633e-54	up	FALSE	Ebpl
Igtp	908.675725945392	1.33147118029279	0.0844203890811236	4.85551453839044e-56	2.71392915730161e-53	up	FALSE	Igtp
Rgn	26045.694314583	1.07148169078314	0.0687430916929248	8.95700077998076e-55	4.85469442274957e-52	up	FALSE	Rgn
Gda	1428.39227601775	1.60466952381152	0.103344547247309	2.26462391461519e-54	1.19132539225904e-51	up	FALSE	Gda
E030018B13Rik	399.037012661162	-3.78585332016163	0.243910151048402	2.48150617644654e-54	1.26812055634065e-51	dn	FALSE	E030018B13Rik
Clpx	6180.02007359619	-1.15147571370403	0.0749743884806624	3.11860134603457e-53	1.54942510208818e-50	dn	FALSE	Clpx
Acot12	8436.59432371868	-0.774759508700192	0.0507617737744652	1.35613310375833e-52	6.55562072805988e-50	dn	FALSE	Acot12
Acot1	6835.66268654378	-1.9293030918228	0.126550982800106	1.77017109764893e-52	8.3319158559339e-50	dn	FALSE	Acot1
Cyp4a10	110348.750102968	-1.51495466927356	0.100360443007068	1.74324588472991e-51	7.99479381904593e-49	dn	FALSE	Cyp4a10
Slc6a9	1424.1821777282	1.33396363419599	0.0885791173196283	2.98712595869438e-51	1.33569337243019e-48	up	FALSE	Slc6a9
Gm10653	703.716451512246	2.10551812994957	0.140455987300875	8.4598264857859e-51	3.69054772011626e-48	up	FALSE	Gm10653
