ab	locus	avg	stddev
BEAF	scs'	2.65838045944262	0.112862562050612
BEAF	scs	0.234416559085834	0.0105198414347408
BEAF	Mcp	0.199449083744393	0.0143954776902878
BEAF	Fab-8	0.336399689080361	0.0912981106174519
BEAF	polo	4.05911482133167	0.397030633351083
BEAF	CycB	1.830896111371	0.103868889744663
BEAF	bel	4.08716995820051	0.354942267832384
BEAF	RpL32	0.0211896495304092	0.007088934721326
CP190	scs'	0.217699335790823	0.0119766008692666
CP190	scs	0.20980872080652	0.118007847393949
CP190	Mcp	1.51199216298864	0.107589903114606
CP190	Fab-8	5.76745321294527	0.570395344424939
CP190	polo	0.559420389138447	0.0717196559014591
CP190	CycB	1.21456396730326	0.0920480760957255
CP190	bel	2.44905512525162	0.10842582350403
CP190	RpL32	0.00236580505498561	0.000229150236501695
Rrp40	scs'	0.475551390182137	0.0315906990671591
Rrp40	scs	0.316588363425882	0.0341602561265375
Rrp40	Mcp	0.260716654655934	0.0433957889724535
Rrp40	Fab-8	0.648576454818462	0.226335398415673
Rrp40	polo	0.740714487459373	0.072949460552601
Rrp40	CycB	1.18268567035139	0.0160791062739249
Rrp40	bel	1.83821267903143	0.14141776164997
Rrp40	RpL32	0.00647814756153183	0.00086217156439804
Rrp6	scs'	0.909196018193679	0.0913099855049687
Rrp6	scs	0.426389109975993	0.0203246533655822
Rrp6	Mcp	1.64207393736429	0.180792226265942
Rrp6	Fab-8	0.547045728250221	0.108364120040299
Rrp6	polo	0.870345995159557	0.138379974176766
Rrp6	CycB	0.66358449414382	0.0485939684634621
Rrp6	bel	0.991958516278972	0.143926805514631
Rrp6	RpL32	0.0129546877560295	0.00529035947712542
IgG	scs'	0.199620168960875	0.00429677770121499
IgG	scs	0.229999262367087	0.0338962999917287
IgG	Mcp	0.253153116371885	0.0253553782298991
IgG	Fab-8	0.0730871958907514	0.0306515767015229
IgG	polo	0.208566665583606	0.0316540541838358
IgG	CycB	0.162328718262639	0.0399097417809578
IgG	bel	0.196834345058012	0.0174559568829631
IgG	RpL32	0.00667349745219233	0.00106072087315709
CTCF	scs'	0.193569147856103	0.0213239796525764
CTCF	scs	0.165703024942718	0.0377469886391336
CTCF	Mcp	3.19766944767827	0.190935624369183
CTCF	Fab-8	6.64901669257943	1.49454623704361
CTCF	polo	0.1855795609121	0.0195742297388982
CTCF	CycB	1.82252238391115	0.216610093329794
CTCF	bel	0.2202484791709	0.0378267137249713
CTCF	RpL32	0.00520776709780186	0.00163229133074676
